ranker,precision@5,recall@5,map@5,ndcg@5,expected_clicks@5,observed_ctr@5,precision@10,recall@10,map@10,ndcg@10,expected_clicks@10,observed_ctr@10,precision@20,recall@20,map@20,ndcg@20,expected_clicks@20,observed_ctr@20,ablation_family,model,auc,log_loss,ece_10bin,mean_pred,positive_rate
semantic_best_score,0.27777777777777773,0.09259259259259262,0.16944444444444443,0.2827115560272663,1.3888888888888888,0.27777777777777773,0.21111111111111108,0.14074074074074072,0.1130787037037037,0.2350243186572609,2.111111111111111,0.21111111111111108,0.13333333333333333,0.17777777777777776,0.09270274130976744,0.20643434465597385,2.6666666666666665,0.13333333333333333,ranking,,,,,,
ctr_only_score,0.8666666666666667,0.28888888888888886,0.8352777777777779,0.8955249619780705,4.333333333333333,0.8666666666666667,0.8055555555555556,0.5370370370370371,0.7369157848324516,0.8437530872279538,8.055555555555555,0.8055555555555556,0.6305555555555555,0.8407407407407408,0.7206131804641867,0.8516240633311373,12.61111111111111,0.6305555555555555,ranking,,,,,,
hybrid_no_pagerank_score,0.8777777777777778,0.29259259259259257,0.8486111111111112,0.9032270016268217,4.388888888888889,0.8777777777777778,0.825,0.5500000000000002,0.757664241622575,0.857770363439128,8.25,0.825,0.6499999999999999,0.8666666666666668,0.7480455617112826,0.8704729180732937,13.0,0.6499999999999999,ranking,,,,,,
hybrid_pagerank_score,0.8944444444444445,0.29814814814814816,0.8630555555555557,0.9145736267620269,4.472222222222222,0.8944444444444445,0.811111111111111,0.5407407407407406,0.7453891093474425,0.8493215143726305,8.11111111111111,0.811111111111111,0.648611111111111,0.8648148148148149,0.7427331759403052,0.8686135603549646,12.972222222222221,0.648611111111111,ranking,,,,,,
historical_prior_pred,,,,,,,,,,,,,,,,,,,predictor,historical_prior,0.9348686758654079,0.2338313802330074,0.010357142857142865,0.15,0.15
metadata_lr_pred,,,,,,,,,,,,,,,,,,,predictor,metadata_only,0.9318500363108206,0.32388564351635674,0.14162369206340772,0.20224110782146454,0.15
deepfm_pred,,,,,,,,,,,,,,,,,,,predictor,slm_structured_deepfm,0.9474122488501574,0.35186894432434607,0.12580211859817308,0.14214882254600525,0.15
